Dropout (1=Yes 0=No),Study Mode,Entry Year,Displaced Student,Overall Pass Rate (%),Pass Rate Semester A (%),Pass Rate Semester B (%),Pass Rate Last Year (%),Credits Enrolled Total,Credits Passed Total,Credits Passed Normal,Credits Passed Sem A,Credits Passed Sem B,Credits Pending Grade,Lowest Year of Study,Highest Year of Study,Platform Days Logged (Total),Platform Events (Total),Platform Minutes (Total),Platform Visits (Total),Campus WiFi Days (Total),Resource Access Days (Total),Performance Bucket,Engagement Level,Credits Enrolled Band
0,1,2022,0,100,100,100,,60,60,60,12,12,0,1,1,61,972,3343.549233,79,,25,3,3,1
0,1,2017,0,100,100,100,56.09756098,30,30,30,18,12,0,4,4,26,198,1866.548933,48,37,18,3,2,0
0,1,2019,0,100,100,100,100,57,57,60,28.5,28.5,0,3,4,74,1079,7975.796767,152,64,61,3,3,1
0,1,2021,1,79.49,100,57.89,82.5,58.5,46.5,49.5,30,16.5,0,1,2,10,37,510.7492333,11,77,2,2,1,1
0,1,,0,,,,,60,0,0,0,0,0,1,1,,,,,,,,,1
0,1,2015,1,71.43,,71.43,44,21,15,15,0,0,0,5,5,6,18,195.10005,4,42,3,2,1,0
0,1,,0,0,,0,100,12,0,0,0,0,0,1,4,,,,,,,0,,0
0,1,2020,1,68.42,68.42,68.42,71.11111111,57,39,39,19.5,19.5,0,2,3,38,252,2507.536467,63,181,30,2,2,1
0,1,2022,0,100,100,100,,60,60,60,30,30,0,1,1,9,23,470.40145,11,128,5,3,1,1
0,1,2017,1,100,100,100,81.08108108,18,18,20.5,6,0,0,4,4,21,104,1620.0481,36,43,13,3,2,0
0,1,2020,0,100,100,100,100,60,60,60,22.5,28.5,0,3,3,20,81,1064.253283,27,147,11,3,1,1
0,1,,1,0,0,0,,75,0,0,0,0,0,1,1,14,81,917.7295333,25,42,14,0,1,2
1,1,2022,0,0,0,0,,60,0,0,0,0,0,1,1,21,111,1506.026,37,60,10,0,2,1
0,1,2020,1,100,100,100,100,60,60,60,30,30,0,3,3,34,139,1770.344517,40,146,26,3,2,1
0,1,2022,0,100,100,100,,60,60,60,18,18,0,1,1,105,739,7653.032383,169,,69,3,3,1
0,1,2021,1,62.5,100,50,20,48,30,30,12,9,0,1,1,,,,,143,,2,,1
0,1,2021,0,100,100,100,100,60,60,60,16.5,10.5,0,2,2,21,140,1637.160483,36,133,15,3,2,1
0,1,,0,83.33,100,66.67,,60,50,50,30,20,0,1,1,,,,,33,,3,,1
0,1,,0,100,100,100,,60,60,60,27,33,0,1,1,,,,,104,,3,,1
0,1,2021,1,100,100,100,100,60,60,60,30,30,0,2,2,60,378,4389.951183,120,15,25,3,2,1
0,1,2020,1,100,100,100,100,60,60,60,33,27,0,3,3,39,245,2172.552483,56,118,19,3,2,1
0,1,2019,1,100,100,100,90,66,66,66,36,30,0,3,4,41,288,3216.812283,83,88,34,3,2,2
0,1,2021,0,100,100,100,100,60,60,61,30,30,0,2,2,18,221,1420.920617,41,64,12,3,1,1
1,1,2022,1,35.29,42.86,30,,51,18,18,9,9,0,1,2,14,66,976.8454667,25,123,8,0,1,1
0,1,2017,1,78.26,75,79.41,100,69,54,54,13.5,9,0,4,5,35,189,2420.090933,58,142,29,2,2,2
1,1,2021,0,0,0,0,20,63,0,0,0,0,0,1,2,27,167,2171.96875,45,95,19,0,2,2
0,1,2019,1,100,100,100,100,46.5,46.5,60,30,16.5,0,4,4,59,252,4034.525867,100,126,31,3,2,1
